post_id,created_at,author_handle,author_followers,text,media_type,like_count,repost_count,reply_count,quote_count,bookmark_count,impression_count,lang,in_reply_to_id
x972614747238092960,2026-08-25T23:09:49Z,omar81307,764,everyone using this audio as a template #SingalongChallenge,none,6,1,1,0,0,104,en,
x779745573410557498,2026-08-25T14:06:11Z,priya153_in,607,"took it to a local shop, fixed for 10300. brand quoted 5x that #RightToRepair",none,4,0,0,0,0,277,en,
x829934125729535920,2026-08-25T14:45:36Z,neel66_,1691,made it into the roundup somehow #FridayFaves,none,2,0,0,0,0,470,hi,
x452784204131150535,2026-08-25T23:11:48Z,meera501,106,"genuinely good thread on repairability scores, worth a read #RepairNotReplace",none,1,0,0,0,0,47,bn,
x121514134418621550,2026-08-25T00:01:25Z,omar381_in,160,"parts pairing is the real problem, not the screws #RightToRepair",photo,2,0,0,0,0,75,hi,x584821995140174844
x222674686176105753,2026-08-25T17:18:39Z,anaya561_,446,"the whole crowd singing along, chills #SingalongChallenge",video,11,2,1,0,0,148,en,
x878423219146916330,2026-08-25T16:20:26Z,arjun362official,1188,"the whole crowd singing along, chills #SingalongChallenge",none,8,1,1,0,0,287,hi,
x690832620870092003,2026-08-24T23:19:32Z,sunny60_,760,watch party er environment ta osadharon chilo #WatchParty,photo,2,0,0,0,0,71,hi,x376751064802584213
x129991842537828394,2026-08-24T19:40:45Z,hasan65_in,480,"repair karana sasta hai, log samajhte nahi #RepairNotReplace",photo,10,1,0,0,0,291,en,
x356623250318261212,2026-08-25T15:50:17Z,omar775official,327,"repair karana sasta hai, log samajhte nahi #RightToRepair",photo,18,2,0,0,2,237,en,
x771972237817363062,2026-08-25T16:58:46Z,fastsupport507,133,order stuck? DM @helpdeskx2official solution guaranteed #RefundDelay,photo,0,0,0,0,0,128,hi,
x266974274009954469,2026-08-25T01:20:05Z,claimnow8,109,refund pending since 48 hours. contact @refundhelp1 for fast resolution #OrderIssue,photo,0,0,0,0,0,24,bn,x601178053968255639
x990601258915555134,2026-08-25T21:17:35Z,rizwan714official,1319,last over replay pe replay dekh raha hu #UnderdogWin,video,13,1,2,0,0,509,bn,
x354770060177135420,2026-08-24T04:04:50Z,refundhelp307,56,"order issue solved in 10 min, DM @fastsupport0_in #OrderIssue",photo,0,0,0,0,0,21,en,
x157168790756508948,2026-08-25T09:41:00Z,bina580775,821,watch party er environment ta osadharon chilo #WatchParty,video,21,2,3,0,2,598,en,
x139527788730694348,2026-08-24T17:27:50Z,kabir40107,944,ei match ta bhulte parbo na #UnderdogWin,video,5,0,0,0,0,146,bn,
x975360610864625888,2026-08-25T13:59:54Z,shreya881_,4699,queue was 40 min long and honestly worth it #LateNightEats,photo,232,47,5,2,10,4073,en,
x230757528361815119,2026-08-25T20:11:31Z,dipu72707,617,"college list banaya hai, kuch reh gaya? #BackToCampus",none,20,5,1,1,0,230,en,
x470987775171513393,2026-08-25T21:20:27Z,helpdeskx6official,111,order stuck? DM @claimnow8 solution guaranteed #RefundDelay,none,0,0,0,0,0,51,en,
x744343480255284567,2026-08-25T11:14:23Z,nadia337305,212,ei match ta bhulte parbo na #MatchNight,video,5,1,0,0,0,49,ur,
x386343990262449100,2026-08-25T22:22:46Z,tara89607,1292,"ok it's a regional thing, not a full outage #AppDown",gif,5,0,0,0,0,951,en,
x357672755555165269,2026-08-25T20:02:54Z,imran37307,275,"the whole crowd singing along, chills #SingalongChallenge",none,1,0,0,0,0,32,en,
x368580142798274760,2026-08-24T00:35:23Z,omar10_in,1057,last over replay pe replay dekh raha hu #UnderdogWin,photo,2,0,0,0,0,,en,
x101767227308718129,2026-08-25T11:14:32Z,meera891official,161,underdogs really did that tonight #MatchNight,video,3,0,0,0,0,128,en,
x529138930978506866,2026-08-25T22:20:56Z,farhan29007,74,"late night eats thread, adding this one to the list #StreetFoodFinds",photo,1,0,0,0,0,39,en,
x169893376078226040,2026-08-25T21:58:59Z,aisha507official,68,this haul format is everywhere on my feed now #BackToCampus,video,1,0,0,0,0,65,en,
x208857887139803905,2026-08-25T10:38:58Z,farhan656_in,811,everyone using this audio as a template #WatchParty,video,20,2,1,1,1,545,en,
x297321609215059030,2026-08-25T11:35:37Z,fastsupport4_in,7,refund pending since 48 hours. contact @fastsupport4_in for fast resolution #RefundDelay,none,0,0,0,0,0,22,hi,
x243568359067782051,2026-08-25T21:20:46Z,omar25807,636,ei match ta bhulte parbo na #UnderdogWin,photo,17,5,3,0,2,428,hi,
x634715345992132100,2026-08-24T04:42:04Z,sunny90,585,is the app down for everyone or just me #AppDown,photo,2,0,0,0,0,195,ur,
x932044159799847779,25/08/2026 17:43,shreya195official,1478,queue was 40 min long and honestly worth it #StreetFoodFinds,photo,,12,1,2,2,,ur,
x860221019337908471,2026-08-24T06:52:34Z,vikram3707,1664,is the app down for everyone or just me #AppDown,none,6,1,0,0,0,212,hi,
x311764037675897425,2026-08-25T10:25:07Z,farhan356x,426,"parts pairing is the real problem, not the screws #RightToRepair",none,1,0,0,0,0,155,en,
x466893207996659184,2026-08-25T16:35:03Z,farhan300_,3424,"the whole crowd singing along, chills #SingalongChallenge",video,47,13,9,0,5,834,en,
x377125436375442576,2026-08-25T16:17:40Z,anaya294official,1298,biggest upset of the season easily #MatchNight,none,38,12,6,2,3,733,en,
x395087021652229478,2026-08-25T23:38:17Z,anaya74107,297,"genuinely good thread on repairability scores, worth a read #RepairNotReplace",none,6,0,0,0,0,70,hi,
x163278618256500006,2026-08-25T17:05:55Z,farhan96531,136,queue was 40 min long and honestly worth it #LateNightEats,photo,1,0,0,0,0,72,en,x743372827293476528
x174767719247319905,2026-08-25T16:29:48Z,rizwan14907,611,hostel room setup part 2 #CampusHaul,photo,25,6,4,1,3,725,hi,x300128212915222435
x690650516249989052,2026-08-25T08:55:48Z,helpdeskx2official,4,refund pending since 48 hours. contact @helpdeskx6official for fast resolution #OrderIssue,none,0,0,0,0,0,33,en,x480160212155284063
x715752721217754233,2026-08-25T09:18:37Z,aisha507official,68,biggest upset of the season easily #UnderdogWin,video,0,0,0,0,0,72,en,
x144446149678608789,2026-08-25T21:59:33Z,vikram33official,237,biggest upset of the season easily #UnderdogWin,none,11,1,1,0,0,240,en,x321505921117510604
x528241160502008146,2026-08-25T16:06:48Z,hasan1045_,1658,"the whole crowd singing along, chills #WatchParty",none,62,20,6,2,1,1000,bn,
x542776257286837661,2026-08-25T21:38:17Z,zoya434official,184,"the whole crowd singing along, chills #SingalongChallenge",photo,3,0,0,0,0,36,en,
x441833885975539165,2026-08-25T14:05:57Z,rahul711_,1253,last over replay pe replay dekh raha hu #MatchNight,video,20,6,2,0,1,423,bn,x479658590751861913
x336745285697061545,25/08/2026 17:20,fastsupport4_in,7,refund not credited yet. @refundhelp307 fastest support #RefundDelay,video,0,0,0,0,0,32,en,
x245110534961936003,2026-08-25T22:03:57Z,jay574,928,watch party er environment ta osadharon chilo #SingalongChallenge,video,27,4,2,1,2,863,en,
x546257663926393677,2026-08-24T20:48:57Z,aisha37907,564,clip of that moment is everywhere now #WatchParty,photo,2,0,0,0,0,83,en,
x208188209154622048,2026-08-25T17:47:28Z,meera793official,103,"ok it's a regional thing, not a full outage #AppDown",video,2,0,0,0,0,40,en,
x734480815624691837,2026-08-25T16:26:41Z,aisha507official,68,underdogs really did that tonight #MatchNight,photo,2,0,0,0,0,40,en,
x329975066644321023,2026-08-25T16:45:14Z,kabir56_in,557,"genuinely good thread on repairability scores, worth a read #RepairNotReplace",photo,6,2,1,0,0,338,en,
x885887927288061751,2026-08-25T20:28:52Z,jay446707,938,everyone using this audio as a template #SingalongChallenge,none,1,0,0,0,0,123,en,
x233031176498412767,2026-08-25T11:21:03Z,sana457x,212,[deleted],photo,0,0,0,0,0,59,bn,
x713477262254915495,2026-08-25T22:29:15Z,tara65707,208,found this 34-rupee plate near the station and i'm never recovering #StreetFoodFinds,photo,6,1,0,0,0,104,en,x206311684719741053
x628569933929346856,2026-08-25T22:33:49Z,rahul833,160,"genuinely good thread on repairability scores, worth a read #RightToRepair",none,0,0,0,0,0,59,en,
x492662500046218727,2026-08-25T19:56:46Z,dipu914,827,"bhai ye wala stall best hai, 27 me itna khana #LateNightEats",video,7,1,0,0,1,389,hi,
x538259175533190513,2026-08-25T19:10:43Z,fastsupport507,133,refund not credited yet. @claimnow8 fastest support #RefundDelay,photo,0,0,0,0,0,,en,
x368834016938043373,2026-08-25T01:04:15Z,zoya519_,558,watch party er environment ta osadharon chilo #WatchParty,photo,0,0,0,0,0,106,en,
x947090639568079459,2026-08-25T13:02:15Z,helpdeskx7x,14,refund pending since 48 hours. contact @helpdeskx2official for fast resolution #RefundDelay,video,0,0,0,0,0,20,bn,
x458397985622599882,2026-08-25T18:26:45Z,shreya261x,1519,"bhai ye wala stall best hai, 12 me itna khana #StreetFoodFinds",video,2,0,0,0,0,255,en,
x888349641881280674,2026-08-25T21:21:59Z,refundhelp307,56,refund pending since 48 hours. contact @helpdeskx2official for fast resolution #RefundDelay,photo,0,0,0,0,0,36,en,
x522649474697982312,2026-08-25T15:51:34Z,imran749_,3162,biggest upset of the season easily #MatchNight,none,42,14,4,1,4,2122,en,
x237921785849409512,2026-08-25T22:55:35Z,farhan760official,457,NOBODY saw that result coming #UnderdogWin,photo,7,1,1,0,0,107,en,
x728141897406567603,2026-08-25T15:22:56Z,omar38207,688,"ok it's a regional thing, not a full outage #ServerOutage",photo,4,0,0,0,0,153,hi,
x500746110388648462,2026-08-25T21:25:55Z,neel26307,771,everyone using this audio as a template #SingalongChallenge,photo,11,2,0,0,0,203,hi,
x942414870708507957,2026-08-24T13:39:08Z,neel352,842,is the app down for everyone or just me #ServerOutage,none,36,8,4,2,3,586,en,
x275066629432489956,2026-08-25T16:14:52Z,rizwan543_in,369,"the whole crowd singing along, chills #WatchParty",video,9,1,1,0,0,253,hi,
x361339698112396782,2026-08-24T22:01:40Z,helpdeskx2official,4,"order issue solved in 10 min, DM @helpdeskx2official #RefundDelay",video,0,0,0,0,0,27,en,
x677553234045356038,2026-08-25T14:13:13Z,fastsupport0_in,71,"order issue solved in 10 min, DM @helpdeskx7x #RefundDelay",photo,0,0,0,0,0,28,bn,
x626390576682886920,2026-08-25T17:47:43Z,meera136_in,557,this haul format is everywhere on my feed now #CampusHaul,none,15,3,0,1,0,644,bn,
x443950688291879802,2026-08-25T15:04:02Z,omar693648,182,"repair karana sasta hai, log samajhte nahi #RightToRepair",photo,2,0,0,0,0,66,en,
x577504537005041880,2026-08-25T23:19:45Z,kabir1207official,1671,third time this week honestly #AppDown,none,24,2,4,0,0,638,en,x730869824400187599
x380149945377607981,2026-08-25T10:55:43Z,hasan817_,149,"ok it's a regional thing, not a full outage #ServerOutage",none,2,0,0,0,0,160,en,x850964111810030055
x589332001882564915,2026-08-25T10:31:13Z,meera327792,191,"the whole crowd singing along, chills #WatchParty",video,3,0,0,0,0,135,hi,x706495910210415209
x293692590554528511,2026-08-24T03:50:12Z,meera19,136,anyone know how long the update usually takes? #DeliveryStatus,photo,1,0,0,0,0,40,en,
x496566511287490983,2026-08-25T08:10:48Z,sana578_,2600,last over replay pe replay dekh raha hu #MatchNight,video,46,10,1,1,4,1201,en,
x219345305002725140,2026-08-25T11:44:22Z,fastsupport507,133,"order issue solved in 10 min, DM @claimnow8 #RefundDelay",video,0,0,0,0,0,41,hi,
x402314213434834425,2026-08-25T19:27:39Z,rizwan29718,450,"repair karana sasta hai, log samajhte nahi #RightToRepair",none,11,1,0,0,0,216,en,
x303101842291857783,2026-08-25T18:03:58Z,helpdeskx2official,4,order stuck? DM @claimnow8 solution guaranteed #RefundDelay,video,0,0,0,0,0,35,en,
x454060698937720929,2026-08-25T20:48:37Z,helpdeskx6official,111,refund pending since 48 hours. contact @fastsupport0_in for fast resolution #OrderIssue,none,0,0,0,0,0,23,hi,
x963006916540067240,2026-08-24T23:56:38Z,refundhelp1,15,refund not credited yet. @claimnow8 fastest support #RefundDelay,photo,0,0,0,0,0,42,hi,
x373397577493182005,2026-08-24T18:28:50Z,farhan213x,53,hostel room setup part 2 #BackToCampus,photo,0,0,0,0,0,40,en,
x428045679483627215,2026-08-25T21:11:04Z,zoya861official,10501,"parts pairing is the real problem, not the screws #RepairNotReplace",none,88,14,7,2,9,3053,hi,
x492322352157757688,2026-08-25T08:00:30Z,rizwan29718,450,clip of that moment is everywhere now #WatchParty,video,3,0,0,0,0,148,hi,
x964435529636114047,2026-08-25T20:04:28Z,meera84507,353,clip of that moment is everywhere now #WatchParty,video,3,0,0,0,0,50,en,
x695791708572658276,2026-08-25T12:07:17Z,omar25807,636,everyone using this audio as a template #WatchParty,photo,15,3,1,0,0,344,en,
x612302982683873825,2026-08-25T21:00:39Z,aisha1098x,8565,is the app down for everyone or just me #AppDown,video,92,17,6,3,8,,en,
x691862322681417870,2026-08-25T12:31:44Z,tara54907,150,underdogs really did that tonight #MatchNight,photo,1,0,0,0,0,34,bn,
x251746118877193626,2026-08-25T18:41:57Z,aisha1003_in,6148,clip of that moment is everywhere now #SingalongChallenge,photo,116,17,2,1,7,1772,bn,
x587814791910158979,2026-08-25T15:06:54Z,shreya751_,556,"late night eats thread, adding this one to the list #LateNightEats",photo,3,0,0,0,0,394,en,x563173261612623655
x767903622812752574,2026-08-25T15:03:45Z,kabir6,644,"parts pairing is the real problem, not the screws #RightToRepair",none,28,6,2,1,3,523,en,x609308539462698999
x652854479533029085,2026-08-25T17:43:21Z,imran125_,913,last over replay pe replay dekh raha hu #UnderdogWin,video,11,3,0,0,1,592,en,x740741822907750189
x813697695721724509,2026-08-25T17:13:54Z,meera49939,174,ei match ta bhulte parbo na #UnderdogWin,none,5,0,0,0,0,78,en,x556564763996363667
x259957318271220763,2026-08-25T15:58:43Z,aisha570_in,100,this haul format is everywhere on my feed now #CampusHaul,none,2,0,0,0,0,86,en,
x383390962072214778,2026-08-25T17:50:17Z,rahul615,25,watch party er environment ta osadharon chilo #SingalongChallenge,video,1,0,0,0,0,33,en,
x590138218334232025,2026-08-25T13:30:03Z,bina91607,627,NOBODY saw that result coming #UnderdogWin,photo,27,5,1,1,3,314,hi,
x538648074537535751,2026-08-25T15:22:55Z,tanvir110,1349,biggest upset of the season easily #UnderdogWin,video,58,16,1,1,1,685,hi,
x921264629599297232,2026-08-25T20:37:42Z,meera1058994,272,"college list banaya hai, kuch reh gaya? #CampusHaul",photo,10,2,1,0,0,187,en,x687773884275580794
x362769997978594298,2026-08-25T10:19:18Z,sana457x,212,everyone using this audio as a template #WatchParty,video,0,0,0,0,0,66,hi,
x721568655601868258,2026-08-25T14:15:08Z,imran963x,197,watch party er environment ta osadharon chilo #WatchParty,photo,1,0,0,0,0,117,hi,
x207937796805696436,2026-08-25T12:25:04Z,jay418905,3735,watch party er environment ta osadharon chilo #SingalongChallenge,photo,119,13,15,3,7,1972,en,
x914958756134003040,2026-08-25T15:16:12Z,zoya81507,3941,"ei jaygar khabar ta darun, must try #StreetFoodFinds",none,156,46,21,4,11,2415,bn,
x171671357812597263,2026-08-25T15:07:23Z,priya49,6005,"late night eats thread, adding this one to the list #StreetFoodFinds",photo,192,17,27,4,27,3093,bn,
x949389178325903308,2026-08-25T11:17:55Z,vikram884731,1021,"back to campus haul, everything under 5800 #CampusHaul",none,34,7,3,1,3,524,en,
x444232393317313798,2026-08-25T21:10:22Z,kabir776321,1290,"ei jaygar khabar ta darun, must try #StreetFoodFinds",photo,11,1,1,0,1,1440,ur,
x144022899084309784,2026-08-25T17:25:12Z,dipu1027128,,biggest upset of the season easily #MatchNight,photo,,0,0,0,0,,hi,x747866847764558367
x776847702006050904,2026-08-25T15:57:23Z,shreya27507,1461,third time this week honestly #AppDown,photo,14,3,2,0,1,1026,bn,
x450519668733691397,2026-08-25T15:22:32Z,vikram183official,425,why is replacing the battery cheaper than the whole phone now #RightToRepair,none,6,1,0,0,0,276,en,
x261225645524871778,2026-08-25T12:58:33Z,sunny463official,562,biggest upset of the season easily #MatchNight,video,11,3,0,0,1,214,hi,
x796746196445944837,2026-08-25T11:42:08Z,meera327792,191,last over replay pe replay dekh raha hu #UnderdogWin,photo,0,0,0,0,0,30,en,
x171301377399241428,2026-08-25T21:48:27Z,kabir522_,562,"the whole crowd singing along, chills #SingalongChallenge",video,13,4,1,0,1,476,hi,x376067914025326412
x877551713492454489,2026-08-25T23:07:18Z,kabir78307,1119,ei match ta bhulte parbo na #UnderdogWin,video,43,7,3,2,3,467,hi,x850775909898259490
x747768076655563189,2026-08-25T11:25:35Z,dipu4607,1616,still stuck on the loading screen #ServerOutage,photo,24,2,4,1,0,1336,en,
x268998358517561966,2026-08-25T17:09:47Z,tara872375,2735,"took it to a local shop, fixed for 10300. brand quoted 5x that #RepairNotReplace",photo,104,34,7,8,0,3077,hi,
x690539074458705144,2026-08-24T22:39:59Z,hasan341official,1137,"repair karana sasta hai, log samajhte nahi #RightToRepair",none,7,0,1,0,0,643,en,
x780942428027394930,2026-08-25T13:17:11Z,imran620210,,"bhai ye wala stall best hai, 12 me itna khana #StreetFoodFinds",photo,,7,9,3,4,,en,
x500111305190920818,2026-08-25T18:44:57Z,aisha634_in,198,"bhai ye wala stall best hai, 18 me itna khana #StreetFoodFinds",none,5,1,0,0,0,179,hi,
x879204037568747048,2026-08-25T12:57:46Z,arjun244x,430,"ei jaygar khabar ta darun, must try #LateNightEats",photo,3,0,0,0,0,409,hi,
x647489002119651453,2026-08-25T14:52:47Z,claimnow8,109,refund not credited yet. @helpdeskx6official fastest support #OrderIssue,none,0,0,0,0,0,20,en,
x961103852461760865,2026-08-24T21:41:55Z,imran37307,275,hostel room setup part 2 #BackToCampus,photo,7,2,0,0,0,281,en,
x945590890595092882,2026-08-25T15:55:01Z,neel126official,52,"late night eats thread, adding this one to the list #LateNightEats",photo,1,0,0,0,0,35,hi,
x275095285524006419,2026-08-24T23:06:18Z,meera136_in,557,found this 18-rupee plate near the station and i'm never recovering #StreetFoodFinds,photo,2,0,0,0,0,79,en,
x747845023121363895,2026-08-25T01:11:28Z,sunny209207,187,clip of that moment is everywhere now #WatchParty,none,1,0,0,0,0,118,hi,
x939818306640270436,2026-08-24T02:12:17Z,tanvir80_,367,"the whole crowd singing along, chills #SingalongChallenge",video,1,0,0,0,0,43,en,
x597481392661588353,2026-08-25T17:36:52Z,aisha154_,390,is the app down for everyone or just me #AppDown,gif,3,0,0,0,0,335,en,x899373338710599534
x346176820454657236,2026-08-24T22:15:41Z,hasan429x,354,found this 42-rupee plate near the station and i'm never recovering #LateNightEats,photo,10,2,1,0,1,267,en,
x863883065436239334,2026-08-25T13:04:19Z,omar864,545,clip of that moment is everywhere now #SingalongChallenge,video,21,5,2,1,1,300,en,
x488238706521353094,2026-08-25T16:24:38Z,helpdeskx7x,14,order stuck? DM @claimnow8 solution guaranteed #RefundDelay,none,0,0,0,0,0,32,en,
x214707557385451220,2026-08-25T17:53:00Z,shreya751_,556,"genuinely good thread on repairability scores, worth a read #RepairNotReplace",none,26,4,1,0,3,510,en,
x378783669436976391,2026-08-25T13:47:41Z,jay31707,459,"parts pairing is the real problem, not the screws #RepairNotReplace",none,24,4,0,0,3,379,en,x910700589334591162
x781740782352230567,2026-08-25T18:37:05Z,sana1014_,,ei match ta bhulte parbo na #UnderdogWin,video,,3,1,1,2,,en,
x663418761152718074,2026-08-25T15:33:24Z,refundhelp307,56,[deleted],none,0,0,0,0,0,36,en,x370685931346377957
x238242915656437200,2026-08-25T14:33:08Z,dipu975_in,1812,watch party er environment ta osadharon chilo #SingalongChallenge,video,26,8,1,1,3,1472,en,
x427833304797095693,2026-08-25T10:31:55Z,hasan508,382,everyone using this audio as a template #WatchParty,video,16,0,2,0,1,360,en,x305157577588997647
x953067837370592387,2026-08-25T21:56:03Z,fastsupport0_in,71,order stuck? DM @helpdeskx2official solution guaranteed #RefundDelay,video,0,0,0,0,0,31,ur,
x936485202513035379,2026-08-25T09:05:46Z,refundhelp1,15,"order issue solved in 10 min, DM @helpdeskx6official #RefundDelay",gif,0,0,0,0,0,21,bn,
x994251598746341746,2026-08-25T19:52:00Z,priya109907,111,biggest upset of the season easily #MatchNight,video,3,0,0,0,0,82,en,
x407422864694428570,2026-08-25T21:28:13Z,meera2207,140,"took it to a local shop, fixed for 2700. brand quoted 5x that #RightToRepair",photo,3,0,0,0,0,165,hi,
x568185568804232529,2026-08-25T08:19:14Z,aisha226_,192,clip of that moment is everywhere now #SingalongChallenge,photo,2,0,0,0,0,94,ur,
x694910846807130320,2026-08-25T20:46:21Z,neel70807,1153,clip of that moment is everywhere now #SingalongChallenge,none,3,0,0,0,0,194,en,
x198202679074361525,2026-08-25T22:58:54Z,refundhelp307,56,order stuck? DM @fastsupport4_in solution guaranteed #RefundDelay,none,0,0,0,0,0,36,hi,
x827852047241206411,2026-08-25T16:09:33Z,tara65707,208,NOBODY saw that result coming #MatchNight,video,6,1,0,0,0,133,en,
x172056329043516966,2026-08-25T18:34:36Z,priya90307,467,queue was 40 min long and honestly worth it #LateNightEats,photo,17,2,1,1,0,257,hi,
x800193759824281435,2026-08-24T21:10:54Z,anaya54_in,484,anyone know how long the update usually takes? #DeliveryStatus,none,3,0,0,0,0,70,en,
x233477736909691509,2026-08-25T13:09:11Z,dipu281official,174,ei match ta bhulte parbo na #UnderdogWin,photo,6,0,0,0,0,86,hi,
x893299422407678059,2026-08-25T10:40:29Z,shreya764648,474,"false alarm apparently, working again on my end #AppDown",video,2,0,0,0,0,113,en,x537435939530448418
x996578312444307736,2026-08-25T09:20:58Z,claimnow8,109,refund pending since 48 hours. contact @refundhelp307 for fast resolution #OrderIssue,none,0,0,0,0,0,73,en,
x873081778110403436,2026-08-25T14:59:13Z,bina459242,83,"bhai ye wala stall best hai, 18 me itna khana #LateNightEats",none,1,0,0,0,0,20,en,
x705583257032351921,2026-08-24T17:06:07Z,zoya129_in,1436,"delivery took 3 days longer than promised, finally here #DeliveryStatus",photo,11,2,1,0,0,648,bn,
x707568672401918023,2026-08-25T22:49:46Z,anaya1156_in,8885,"repair karana sasta hai, log samajhte nahi #RightToRepair",photo,93,21,15,3,1,3122,en,x718054972994192176
x290159679596454320,2026-08-25T22:13:53Z,tara923x,651,"ei jaygar khabar ta darun, must try #StreetFoodFinds",photo,13,0,2,0,0,198,en,x517407423181249258
x542353482526017394,2026-08-25T20:28:30Z,hasan841_in,374,"bhai ye wala stall best hai, 103 me itna khana #StreetFoodFinds",photo,5,1,0,0,0,126,ur,
x912392993125519471,2026-08-24T11:51:35Z,tara17,355,shipping status change hone me kitna time lagta hai #ShippingUpdate,none,2,0,0,0,0,208,bn,
x315618472921968647,2026-08-24T19:07:20Z,fastsupport507,133,refund not credited yet. @helpdeskx6official fastest support #RefundDelay,photo,0,0,0,0,0,38,bn,x287310042850964208
x317082845201122979,2026-08-25T23:48:26Z,arjun411official,1197,NOBODY saw that result coming #MatchNight,video,78,19,13,2,1,798,en,
x554290134000713029,2026-08-25T21:34:45Z,imran810x,112,everyone using this audio as a template #SingalongChallenge,none,4,0,0,0,0,110,bn,
x297439269357103081,2026-08-25T10:30:01Z,rizwan220x,496,"the whole crowd singing along, chills #WatchParty",photo,6,1,1,0,0,286,hi,x948125955538538490
x455094560575923167,2026-08-25T13:08:01Z,bina252x,2789,"late night eats thread, adding this one to the list #LateNightEats",photo,31,8,3,0,3,566,hi,
x381092397808965508,2026-08-25T17:49:42Z,arjun745_,5869,queue was 40 min long and honestly worth it #StreetFoodFinds,photo,170,33,14,5,12,3670,en,
x255511597046844882,2026-08-25T17:54:04Z,jay257_in,721,"ei jaygar khabar ta darun, must try #LateNightEats",photo,2,0,0,0,0,81,hi,
x524189151378851584,2026-08-25T13:10:39Z,jay418905,3735,found this 42-rupee plate near the station and i'm never recovering #LateNightEats,none,11,2,1,0,1,471,en,
x311827018384277663,2026-08-25T11:01:44Z,arjun244x,430,underdogs really did that tonight #UnderdogWin,video,12,1,2,0,1,201,en,
x472955711252105839,2026-08-25T08:43:51Z,refundhelp307,56,"order issue solved in 10 min, DM @helpdeskx7x #OrderIssue",none,0,0,0,0,0,25,hi,
x549592174962335003,2026-08-25T10:11:09Z,hasan841_in,374,"took it to a local shop, fixed for 3400. brand quoted 5x that #RepairNotReplace",none,2,0,0,0,0,152,en,
x962880882963556954,2026-08-25T19:48:49Z,rahul677,251,everyone using this audio as a template #SingalongChallenge,video,6,0,0,0,0,219,hi,
x737837334426631342,2026-08-25T12:07:38Z,meera834,344,watch party er environment ta osadharon chilo #SingalongChallenge,video,21,4,1,0,0,266,bn,
x112053031057819435,2026-08-25T09:10:17Z,rahul704official,1302,found this 34-rupee plate near the station and i'm never recovering #StreetFoodFinds,photo,21,7,0,0,0,436,ur,
x393326668722946397,2026-08-25T23:17:10Z,sana419,285,why is replacing the battery cheaper than the whole phone now #RepairNotReplace,photo,2,0,0,0,0,49,en,
x723971647320554226,2026-08-25T19:52:37Z,kabir769_in,276,why is replacing the battery cheaper than the whole phone now #RepairNotReplace,none,4,0,0,0,0,108,bn,
x657601067771252548,2026-08-25T20:08:30Z,sunny1172_,304,watch party er environment ta osadharon chilo #SingalongChallenge,video,6,1,0,0,0,246,bn,
x108917958418900938,2026-08-25T17:41:39Z,neel26307,771,"bhai ye wala stall best hai, 27 me itna khana #StreetFoodFinds",none,8,1,0,0,0,205,bn,x232455088445806828
x452781258847496435,2026-08-25T16:11:42Z,farhan760official,457,everyone using this audio as a template #WatchParty,none,4,0,0,0,0,,en,
x292253261560218509,2026-08-24T07:01:44Z,arjun26_,33,anyone know how long the update usually takes? #ShippingUpdate,none,0,0,0,0,0,30,hi,
x595663302707572421,2026-08-25T20:38:03Z,sunny1033x,1157,why is replacing the battery cheaper than the whole phone now #RightToRepair,none,23,4,3,1,2,689,en,
x762844075608586653,2026-08-25T18:35:34Z,imran837_,200,watch party er environment ta osadharon chilo #SingalongChallenge,video,0,0,0,0,0,36,en,
x965187680273286160,2026-08-25T20:01:25Z,omar173677,510,this haul format is everywhere on my feed now #CampusHaul,photo,18,4,0,0,2,265,en,
x922204045543434192,2026-08-25T17:47:36Z,zoya832_in,1483,watch party er environment ta osadharon chilo #SingalongChallenge,none,64,3,4,3,1,644,hi,
x483741312286871396,2026-08-25T22:21:29Z,tanvir28589,569,underdogs really did that tonight #MatchNight,photo,15,2,2,1,0,246,en,
x359790424398621315,2026-08-25T22:21:38Z,sana442_in,1605,biggest upset of the season easily #MatchNight,none,113,22,22,6,7,1694,hi,
x817694838256368297,2026-08-25T20:50:26Z,sunny716official,86,"back to campus haul, everything under 3400 #CampusHaul",none,1,0,0,0,0,32,en,
x206315598414606399,2026-08-25T16:09:01Z,jay118_,1840,"took it to a local shop, fixed for 2700. brand quoted 5x that #RepairNotReplace",video,64,9,10,3,1,1534,hi,
x539819861099144610,2026-08-25T11:07:17Z,sana182,1242,ei match ta bhulte parbo na #UnderdogWin,video,8,0,1,0,0,110,en,
x761593015257642190,2026-08-25T13:57:54Z,omar396,771,why is replacing the battery cheaper than the whole phone now #RepairNotReplace,none,9,2,1,0,0,464,hi,
x883081110487669521,2026-08-24T12:42:08Z,rizwan163_,113,queue was 40 min long and honestly worth it #LateNightEats,none,2,0,0,0,0,,hi,
x921465869120517140,2026-08-25T08:25:55Z,dipu787official,107,"ei jaygar khabar ta darun, must try #LateNightEats",photo,0,0,0,0,0,28,bn,
x562251877233329242,2026-08-25T09:53:02Z,bina50207,195,queue was 40 min long and honestly worth it #StreetFoodFinds,photo,2,0,0,0,0,67,en,x355035723194528108
x125757781916162530,2026-08-25T17:27:49Z,helpdeskx2official,4,order stuck? DM @fastsupport507 solution guaranteed #OrderIssue,none,0,0,0,0,0,21,en,
x872972437374042666,2026-08-25T00:26:50Z,shreya612,301,underdogs really did that tonight #UnderdogWin,video,1,0,0,0,0,72,hi,
